Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1999,12,3,5,700,700,841,836,AS,618,N975AS,101,96,64,5,0,SEA,RNO,564,4,33,0,NA,0,NA,NA,NA,NA,NA
1999,3,3,3,1427,1427,1641,1645,CO,758,N14219,254,258,227,-4,0,IAH,SFO,1635,4,23,0,NA,0,NA,NA,NA,NA,NA
1999,9,23,4,2134,2135,10,16,UA,1015,N902UA,156,161,136,-6,-1,IAD,MIA,921,4,16,0,NA,0,NA,NA,NA,NA,NA
1999,9,20,1,1209,1215,1322,1330,US,1664,N389US,73,75,55,-8,-6,CLT,CMH,346,4,14,0,NA,0,NA,NA,NA,NA,NA
1999,2,16,2,1105,1105,1206,1200,WN,609,N357,61,55,51,6,0,MSY,BHM,321,3,7,0,NA,0,NA,NA,NA,NA,NA
1999,4,3,6,1025,1020,1154,1145,WN,612,N697,89,85,79,9,5,SAN,SMF,480,4,6,0,NA,0,NA,NA,NA,NA,NA
1999,12,21,2,1906,1905,1959,2016,DL,1042,N369DL,53,71,32,-17,1,CVG,SBN,203,3,18,0,NA,0,NA,NA,NA,NA,NA
1999,5,20,4,1348,1350,1524,1530,DL,1103,N174DZ,96,100,71,-6,-2,ATL,PBI,545,5,20,0,NA,0,NA,NA,NA,NA,NA
1999,11,11,4,1157,1200,1703,1650,DL,1600,N926DL,186,170,167,13,-3,COS,ATL,1185,7,12,0,NA,0,NA,NA,NA,NA,NA
1999,8,7,6,1617,1600,1819,1815,DL,1106,N130DL,122,135,104,4,17,MCO,CVG,756,8,10,0,NA,0,NA,NA,NA,NA,NA
1999,11,10,3,1214,0,1733,0,AA,348,N591AA,199,212,179,-14,-1,SJC,DFW,1438,11,9,0,NA,0,NA,NA,NA,NA,NA
1999,10,12,2,2050,1955,2344,2252,DL,632,N501DA,114,117,97,52,55,DFW,SDF,733,3,14,0,NA,0,NA,NA,NA,NA,NA
1999,3,26,5,636,640,948,958,CO,1892,N14660,132,138,116,-10,-4,TUS,IAH,936,6,10,0,NA,0,NA,NA,NA,NA,NA
1999,9,19,7,1558,1555,1635,1641,DL,2032,N232DZ,97,106,72,-6,3,ATL,STL,483,4,21,0,NA,0,NA,NA,NA,NA,NA
1999,4,5,1,813,745,927,900,WN,1008,N619,74,75,61,27,28,LAX,TUS,451,3,10,0,NA,0,NA,NA,NA,NA,NA
1999,3,23,2,1625,1625,1836,1835,DL,553,N112DL,131,130,104,1,0,DTW,ATL,594,6,21,0,NA,0,NA,NA,NA,NA,NA
1999,11,13,6,1805,1805,1937,1953,DL,1877,N492DA,152,168,111,-16,0,JFK,ORD,740,6,35,0,NA,0,NA,NA,NA,NA,NA
1999,8,18,3,1233,1230,1510,1515,DL,2012,N916DN,97,105,81,-5,3,SNA,SLC,588,5,11,0,NA,0,NA,NA,NA,NA,NA
1999,7,30,5,1027,1030,1138,1139,US,1242,N918VJ,71,69,53,-1,-3,DCA,SYR,298,6,12,0,NA,0,NA,NA,NA,NA,NA
1999,6,10,4,NA,1334,NA,1545,AA,1833,UNKNOW,NA,251,NA,NA,NA,ORD,LAX,1745,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,9,24,5,1047,1047,1422,1414,UA,1610,N329UA,155,147,132,8,0,DEN,BNA,1013,7,16,0,NA,0,NA,NA,NA,NA,NA
1999,10,3,7,2128,2115,2232,2233,UA,865,N929UA,64,78,51,-1,13,SFO,LAX,337,3,10,0,NA,0,NA,NA,NA,NA,NA
1999,5,24,1,814,815,1001,1005,DL,738,N984DL,107,110,88,-4,-1,ATL,DTW,594,8,11,0,NA,0,NA,NA,NA,NA,NA
1999,10,18,1,1515,1515,1625,1629,US,702,N391US,70,74,48,-4,0,CLT,DCA,331,4,18,0,NA,0,NA,NA,NA,NA,NA
1999,10,15,5,2302,2240,2344,2323,NW,749,N530US,102,103,81,21,22,DTW,MSP,528,7,14,0,NA,0,NA,NA,NA,NA,NA
1999,10,1,5,820,820,1143,1106,AS,447,N958AS,203,166,176,37,0,SAN,SEA,1050,7,20,0,NA,0,NA,NA,NA,NA,NA
1999,1,24,7,1450,1430,1544,1519,US,824,N819US,54,49,37,25,20,PIT,MDT,185,3,14,0,NA,0,NA,NA,NA,NA,NA
1999,4,22,4,NA,745,NA,939,AA,504,UNKNOW,NA,114,NA,NA,NA,OKC,ORD,693,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,4,8,4,1846,1741,2000,1859,AS,434,N795AS,74,78,63,61,65,OAK,SNA,371,5,6,0,NA,0,NA,NA,NA,NA,NA
1999,9,26,7,1432,1432,1630,1626,CO,1995,N69333,178,174,155,4,0,CLE,IAH,1091,7,16,0,NA,0,NA,NA,NA,NA,NA
1999,6,21,1,1435,1435,1813,1826,NW,20,N513US,158,171,139,-13,0,MSP,BOS,1124,10,9,0,NA,0,NA,NA,NA,NA,NA
1999,3,12,5,724,730,756,806,DL,1655,N912DN,32,36,21,-10,-6,AUS,SAT,66,3,8,0,NA,0,NA,NA,NA,NA,NA
1999,8,26,4,1655,1700,1746,1743,NW,1255,N620NW,111,103,70,3,-5,MSP,RAP,490,5,36,0,NA,0,NA,NA,NA,NA,NA
1999,5,25,2,NA,1754,NA,2053,AS,717,UNKNOW,NA,179,NA,NA,NA,PHX,SEA,1107,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,7,19,1,1630,1605,1658,1650,WN,581,N385,88,105,75,8,25,BWI,BNA,588,5,8,0,NA,0,NA,NA,NA,NA,NA
1999,5,10,1,2045,2045,2135,2135,WN,1683,N357,50,50,37,0,0,SJC,RNO,188,3,10,0,NA,0,NA,NA,NA,NA,NA
1999,11,16,2,945,945,1813,1810,DL,1988,N199DN,328,325,286,3,0,SFO,JFK,2586,15,27,0,NA,0,NA,NA,NA,NA,NA
1999,6,22,2,1804,1810,1957,1957,US,926,N884US,113,107,96,0,-6,GSP,LGA,610,7,10,0,NA,0,NA,NA,NA,NA,NA
1999,11,24,3,1246,1239,1442,1401,UA,1230,N7466U,176,142,159,41,7,MHT,ORD,843,5,12,0,NA,0,NA,NA,NA,NA,NA
1999,6,28,1,955,955,1202,1207,AS,435,N967AS,127,132,111,-5,0,ONT,PDX,838,5,11,0,NA,0,NA,NA,NA,NA,NA
1999,3,9,2,NA,1040,NA,1249,NW,1824,N985US,NA,69,NA,NA,NA,MDW,DTW,229,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,3,17,3,755,800,934,1001,NW,837,N3322L,159,181,140,-27,-5,CLT,MSP,930,7,12,0,NA,0,NA,NA,NA,NA,NA
1999,8,8,7,635,640,745,805,DL,1487,N377DL,70,85,53,-20,-5,GSO,CVG,330,5,12,0,NA,0,NA,NA,NA,NA,NA
1999,3,18,4,1741,0,1859,0,UA,483,N320UA,138,150,120,29,41,BDL,ORD,783,4,14,0,NA,0,NA,NA,NA,NA,NA
1999,12,23,4,1007,1010,1304,1254,AA,1778,N445AA,117,104,72,10,-3,ORD,DCA,612,32,13,0,NA,0,NA,NA,NA,NA,NA
1999,5,17,1,1750,1755,1909,1931,US,1057,N784AU,139,156,125,-22,-5,CLT,IAH,913,3,11,0,NA,0,NA,NA,NA,NA,NA
1999,6,14,1,1332,1315,1441,1430,WN,1406,N373,69,75,60,11,17,SJC,SAN,417,2,7,0,NA,0,NA,NA,NA,NA,NA
1999,12,24,5,943,930,1107,1053,US,2094,N560AU,84,83,60,14,13,CLT,MDT,413,3,21,0,NA,0,NA,NA,NA,NA,NA
1999,4,11,7,1649,1635,1835,1834,DL,775,N103DA,106,119,85,1,14,RSW,ATL,515,10,11,0,NA,0,NA,NA,NA,NA,NA
1999,6,26,6,900,900,1028,1025,WN,570,N686,88,85,59,3,0,PHX,BUR,369,1,28,0,NA,0,NA,NA,NA,NA,NA
1999,7,19,1,900,900,1028,1035,CO,1844,N14605,88,95,72,-7,0,CMH,EWR,462,8,8,0,NA,0,NA,NA,NA,NA,NA
1999,7,15,4,1445,1350,1522,1445,WN,723,N67,97,115,82,37,55,MCO,BNA,616,3,12,0,NA,0,NA,NA,NA,NA,NA
1999,8,31,2,700,700,802,810,WN,1233,N357,62,70,51,-8,0,LAX,OAK,337,4,7,0,NA,0,NA,NA,NA,NA,NA
1999,3,4,4,1733,0,1825,0,UA,1163,N301UA,112,105,89,5,-2,DSM,DEN,589,9,14,0,NA,0,NA,NA,NA,NA,NA
1999,5,25,2,1147,1150,1351,1348,CO,1749,N14871,184,178,164,3,-3,DTW,IAH,1076,6,14,0,NA,0,NA,NA,NA,NA,NA
1999,12,14,2,1845,1845,2128,2128,UA,1082,N7294U,103,103,83,0,0,DEN,DFW,641,5,15,0,NA,0,NA,NA,NA,NA,NA
1999,12,25,6,1740,1745,1915,1951,UA,1777,N824UA,275,306,255,-36,-5,IAD,LAS,2066,4,16,0,NA,0,NA,NA,NA,NA,NA
1999,3,22,1,700,650,925,925,WN,1163,N63,85,95,75,0,10,ABQ,DAL,580,5,5,0,NA,0,NA,NA,NA,NA,NA
1999,8,30,1,904,907,1426,1425,HP,2003,N647AW,202,198,173,1,-3,PHX,ORD,1440,5,24,0,NA,0,NA,NA,NA,NA,NA
1999,12,31,5,655,700,915,949,CO,260,N16217,140,169,123,-34,-5,RSW,EWR,1068,4,13,0,NA,0,NA,NA,NA,NA,NA
1999,10,18,1,627,630,733,741,US,2325,N577US,66,71,47,-8,-3,PHL,BOS,280,9,10,0,NA,0,NA,NA,NA,NA,NA
1999,3,1,1,728,730,953,1000,DL,627,N976DL,145,150,117,-7,-2,EWR,ATL,745,7,21,0,NA,0,NA,NA,NA,NA,NA
1999,2,28,7,1629,1605,1746,1731,DL,2027,N766DA,77,86,53,15,24,ATL,TPA,406,4,20,0,NA,0,NA,NA,NA,NA,NA
1999,7,18,7,2231,2020,2251,2050,CO,1529,N17773,140,150,117,121,131,IAH,PHX,1009,4,19,0,NA,0,NA,NA,NA,NA,NA
1999,8,16,1,1001,1000,1541,1601,UA,676,N588UA,220,241,201,-20,1,SFO,ORD,1846,5,14,0,NA,0,NA,NA,NA,NA,NA
1999,4,17,6,1303,1305,1649,1635,NW,1296,N301RC,166,150,129,14,-2,MSP,ATL,906,9,28,0,NA,0,NA,NA,NA,NA,NA
1999,11,7,7,1854,1825,1947,1915,WN,1294,N619,53,50,45,32,29,DAL,TUL,237,2,6,0,NA,0,NA,NA,NA,NA,NA
1999,7,12,1,639,640,759,803,US,938,N585US,80,83,66,-4,-1,BDL,PIT,406,3,11,0,NA,0,NA,NA,NA,NA,NA
1999,6,27,7,1828,1830,1931,1935,DL,1629,N900PC,63,65,45,-4,-2,PHX,LAS,256,6,12,0,NA,0,NA,NA,NA,NA,NA
1999,6,27,7,1710,0,1723,0,UA,1161,N538UA,73,74,38,29,30,DTW,ORD,235,8,27,0,NA,0,NA,NA,NA,NA,NA
1999,8,22,7,1503,1505,1752,1754,UA,424,N316UA,109,109,87,-2,-2,TUS,DEN,639,15,7,0,NA,0,NA,NA,NA,NA,NA
1999,3,17,3,1722,0,1928,0,UA,963,N181UA,306,327,271,-14,7,IAD,LAX,2288,10,25,0,NA,0,NA,NA,NA,NA,NA
1999,6,23,3,1929,1850,2056,2017,DL,1092,N753DA,87,87,66,39,39,TPA,ATL,406,8,13,0,NA,0,NA,NA,NA,NA,NA
1999,11,22,1,1010,1010,1115,1115,WN,604,N387,65,65,53,0,0,MSY,HOU,303,3,9,0,NA,0,NA,NA,NA,NA,NA
1999,12,21,2,1757,1755,2051,2050,TW,21,N604TW,234,235,205,1,2,SJU,JFK,1597,6,23,0,NA,0,NA,NA,NA,NA,NA
1999,4,23,5,1935,1700,2042,1805,WN,514,N670,67,65,53,157,155,ONT,PHX,325,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,12,7,2,1541,1544,1911,1855,UA,520,N7458U,150,131,120,16,-3,ORD,BOS,867,3,27,0,NA,0,NA,NA,NA,NA,NA
1999,10,27,3,1047,1050,1222,1233,DL,1637,N377DL,95,103,64,-11,-3,RIC,ATL,481,19,12,0,NA,0,NA,NA,NA,NA,NA
1999,5,29,6,1419,1420,1550,1600,NW,321,N541US,151,160,127,-10,-1,DCA,MSP,931,7,17,0,NA,0,NA,NA,NA,NA,NA
1999,7,8,4,1137,1144,1254,1309,AA,469,N2BBAA,77,85,58,-15,-7,ORD,BNA,409,5,14,0,NA,0,NA,NA,NA,NA,NA
1999,6,19,6,1526,0,1759,0,UA,588,N365UA,93,91,72,3,1,DEN,DSM,589,3,18,0,NA,0,NA,NA,NA,NA,NA
1999,1,15,5,654,700,1259,1248,NW,260,N503US,245,228,218,11,-6,PHX,DTW,1671,15,12,0,NA,0,NA,NA,NA,NA,NA
1999,4,30,5,1457,1500,2348,2321,CO,152,N13113,351,321,325,27,-3,SFO,EWR,2565,10,16,0,NA,0,NA,NA,NA,NA,NA
1999,5,22,6,929,935,1021,1026,US,2185,N887US,52,51,35,-5,-6,CHS,CLT,168,5,12,0,NA,0,NA,NA,NA,NA,NA
1999,11,7,7,1700,1700,1809,1805,WN,242,N636,69,65,58,4,0,MSY,HOU,303,5,6,0,NA,0,NA,NA,NA,NA,NA
1999,5,27,4,1354,1355,1538,1541,NW,88,N515US,104,106,72,-3,-1,DTW,LGA,501,5,27,0,NA,0,NA,NA,NA,NA,NA
1999,1,4,1,1305,1305,1357,1410,WN,708,N93,112,125,101,-13,0,SLC,SEA,689,3,8,0,NA,0,NA,NA,NA,NA,NA
1999,2,20,6,715,715,812,821,HP,200,N329AW,57,66,43,-9,0,PHX,ABQ,328,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,11,27,6,1443,1445,1531,1540,NW,1209,N8938E,48,55,36,-9,-2,GRR,DTW,120,5,7,0,NA,0,NA,NA,NA,NA,NA
1999,12,30,4,2230,2030,2354,2130,DL,1627,N406DA,84,60,71,144,120,BOI,SLC,291,8,5,0,NA,0,NA,NA,NA,NA,NA
1999,5,14,5,1157,1130,1251,1225,WN,1067,N351,54,55,44,26,27,SJC,BUR,296,2,8,0,NA,0,NA,NA,NA,NA,NA
1999,7,1,4,1425,1427,1919,1928,AA,482,N499AA,174,181,149,-9,-2,ONT,DFW,1189,16,9,0,NA,0,NA,NA,NA,NA,NA
1999,6,8,2,1128,1130,1348,1340,CO,1955,N16650,200,190,183,8,-2,DCA,IAH,1208,5,12,0,NA,0,NA,NA,NA,NA,NA
1999,5,31,1,2329,2315,657,641,HP,555,N622AW,268,266,248,16,14,LAS,MIA,2175,7,13,0,NA,0,NA,NA,NA,NA,NA
1999,10,11,1,1611,1615,1939,1950,US,1689,N515AU,148,155,122,-11,-4,MCI,PHL,1038,17,9,0,NA,0,NA,NA,NA,NA,NA
1999,4,30,5,1807,1805,1907,1907,UA,1835,N981UA,120,122,100,0,2,MSP,DEN,680,11,9,0,NA,0,NA,NA,NA,NA,NA
1999,10,12,2,33,2325,133,35,DL,1796,N687DL,60,70,46,58,68,ATL,RDU,356,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,1,5,2,825,825,930,935,WN,478,N722,65,70,59,-5,0,ABQ,PHX,328,2,4,0,NA,0,NA,NA,NA,NA,NA
1999,2,27,6,1853,1810,2057,2045,WN,97,N725,244,275,233,12,43,BNA,SAN,1751,2,9,0,NA,0,NA,NA,NA,NA,NA
1999,5,18,2,2135,2130,2322,2233,DL,1850,N525DA,107,63,32,49,5,LGA,BOS,185,8,67,0,NA,0,NA,NA,NA,NA,NA
1999,2,4,4,2243,2215,2336,2310,WN,593,N687,53,55,44,26,28,HOU,MSY,303,2,7,0,NA,0,NA,NA,NA,NA,NA
1999,10,18,1,1333,1330,1503,1511,TW,766,N54352,90,101,69,-8,3,DTW,JFK,508,5,16,0,NA,0,NA,NA,NA,NA,NA
1999,11,14,7,626,630,700,717,UA,400,N592UA,94,107,79,-17,-4,DSM,DEN,589,9,6,0,NA,0,NA,NA,NA,NA,NA
1999,1,15,5,NA,1000,NA,1253,UA,1858,UNKNOW,NA,113,NA,NA,NA,ORD,PHL,678,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,3,30,2,1728,1645,1838,1747,NW,763,N544US,130,122,106,51,43,DTW,MSP,528,6,18,0,NA,0,NA,NA,NA,NA,NA
1999,9,7,2,NA,839,NA,1005,UA,2017,UNKNOW,NA,86,NA,NA,NA,SFO,LAX,337,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,4,8,4,2030,1830,2129,1930,WN,715,N671,59,60,49,119,120,ISP,BWI,220,3,7,0,NA,0,NA,NA,NA,NA,NA
1999,1,1,5,1917,1920,2027,2026,AA,706,N721AA,130,126,92,1,-3,MIA,MSY,674,3,35,0,NA,0,NA,NA,NA,NA,NA
1999,8,29,7,816,815,1012,1012,US,1191,N777AU,116,117,95,0,1,CLT,MIA,650,7,14,0,NA,0,NA,NA,NA,NA,NA
1999,12,1,3,959,930,1120,1108,CO,1431,N59302,81,98,58,12,29,EWR,CLE,404,3,20,0,NA,0,NA,NA,NA,NA,NA
1999,3,4,4,2003,1915,2314,2211,CO,1036,N16802,191,176,177,63,48,FLL,EWR,1065,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,6,10,4,847,850,1214,1211,US,1291,N409US,147,141,130,3,-3,MSP,PHL,980,5,12,0,NA,0,NA,NA,NA,NA,NA
1999,2,3,3,2057,2100,2223,2230,NW,1717,N318US,86,90,67,-7,-3,DTW,PHL,453,5,14,0,NA,0,NA,NA,NA,NA,NA
1999,8,2,1,1433,1434,1541,1541,CO,1823,N27610,68,67,46,0,-1,IAH,MFE,316,4,18,0,NA,0,NA,NA,NA,NA,NA
1999,1,12,2,819,805,833,815,DL,2215,N406DA,74,70,57,18,14,ATL,MOB,302,4,13,0,NA,0,NA,NA,NA,NA,NA
1999,6,28,1,832,830,1121,1140,DL,2375,N308DL,169,190,141,-19,2,EWR,FLL,1065,5,23,0,NA,0,NA,NA,NA,NA,NA
1999,7,25,7,1532,1531,1857,1856,CO,1510,N938MC,145,145,126,1,1,IAH,MCO,853,5,14,0,NA,0,NA,NA,NA,NA,NA
1999,5,20,4,2034,2030,2217,2219,DL,603,N620DL,103,109,79,-2,4,IAD,ATL,533,7,17,0,NA,0,NA,NA,NA,NA,NA
1999,11,15,1,1350,1340,1642,1607,DL,310,N106DA,172,147,144,35,10,ATL,BOS,946,5,23,0,NA,0,NA,NA,NA,NA,NA
1999,6,29,2,1440,1435,1509,1515,WN,854,N73,89,100,75,-6,5,DTW,STL,440,5,9,0,NA,0,NA,NA,NA,NA,NA
1999,4,27,2,1536,1525,1742,1725,WN,558,N698,66,60,52,17,11,MDW,SDF,271,4,10,0,NA,0,NA,NA,NA,NA,NA
1999,4,16,5,633,635,801,814,AA,334,N201AA,88,99,71,-13,-2,DFW,BNA,631,7,10,0,NA,0,NA,NA,NA,NA,NA
1999,1,14,4,722,725,910,910,NW,209,N777NC,108,105,63,0,-3,MSP,MCI,393,13,32,0,NA,0,NA,NA,NA,NA,NA
1999,2,8,1,1225,1150,1528,1418,AS,84,N950AS,183,148,146,70,35,SEA,LAX,954,13,24,0,NA,0,NA,NA,NA,NA,NA
1999,2,16,2,2010,1855,2124,2015,WN,292,N629,74,80,59,69,75,SFO,SAN,447,2,13,0,NA,0,NA,NA,NA,NA,NA
1999,6,16,3,600,600,653,700,WN,687,N305,53,60,42,-7,0,LAS,PHX,256,3,8,0,NA,0,NA,NA,NA,NA,NA
1999,12,3,5,1633,1540,1633,1543,HP,2733,N308AW,60,63,50,50,53,PHX,LAS,256,4,6,0,NA,0,NA,NA,NA,NA,NA
1999,5,28,5,812,813,1124,1050,UA,271,N806UA,192,157,132,34,-1,IAD,MIA,921,3,57,0,NA,0,NA,NA,NA,NA,NA
1999,11,3,3,1320,1320,1429,1424,DL,2098,N519DA,69,64,48,5,0,ATL,GSO,306,5,16,0,NA,0,NA,NA,NA,NA,NA
1999,1,6,3,1740,1740,1843,1840,WN,1675,N59,63,60,52,3,0,MSY,BHM,321,3,8,0,NA,0,NA,NA,NA,NA,NA
1999,10,10,7,1312,1315,2145,2150,NW,924,N240NW,333,335,313,-5,-3,HNL,SEA,2677,5,15,0,NA,0,NA,NA,NA,NA,NA
1999,7,27,2,1954,2000,2123,2141,NW,817,N540US,89,101,65,-18,-6,BWI,DTW,408,10,14,0,NA,0,NA,NA,NA,NA,NA
1999,2,25,4,1609,1555,1738,1735,DL,152,N174DZ,89,100,66,3,14,ATL,PBI,545,6,17,0,NA,0,NA,NA,NA,NA,NA
1999,3,31,3,1450,1450,1532,1535,WN,30,N691,102,105,88,-3,0,DAL,ABQ,580,3,11,0,NA,0,NA,NA,NA,NA,NA
1999,3,12,5,1113,1115,1217,1218,HP,735,N156AW,64,63,39,-1,-2,LAS,SNA,226,15,10,0,NA,0,NA,NA,NA,NA,NA
1999,2,16,2,NA,1400,NA,1630,AA,2233,UNKNOW,NA,150,NA,NA,NA,ORD,DFW,802,0,0,1,NA,0,NA,NA,NA,NA,NA
1999,2,24,3,1758,1800,1814,1823,NW,825,N782NC,76,83,56,-9,-2,ATL,MEM,332,4,16,0,NA,0,NA,NA,NA,NA,NA
1999,7,27,2,1912,1719,2020,1834,TW,299,N9404V,188,195,162,106,113,STL,PHX,1262,3,23,0,NA,0,NA,NA,NA,NA,NA
1999,6,12,6,1401,1241,1633,1515,AA,1450,N2AMAA,152,154,133,78,80,AUS,ORD,978,7,12,0,NA,0,NA,NA,NA,NA,NA
